2018-08-01 09:41:53 | INFO | 3419 | 5b617d404b915 | 1533116513.313 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.304,0.04,"ASK"]
2018-08-01 09:42:04 | INFO | 3419 | 5b617d404b915 | 1533116524.404 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4130000000000000",0.04,"ASK"]
2018-08-01 09:42:04 | INFO | 3419 | 5b617d404b915 | 1533116524.406 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.41200000000003,0.04,"ASK"]
2018-08-01 09:42:04 | INFO | 3419 | 5b617d404b915 | 1533116524.408 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.411,0.04,"ASK"]
2018-08-01 09:42:19 | INFO | 3419 | 5b617d404b915 | 1533116539.15 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3060000000000000",0.04,"ASK"]
2018-08-01 09:42:19 | INFO | 3419 | 5b617d404b915 | 1533116539.17 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.305,0.04,"ASK"]
2018-08-01 09:42:19 | INFO | 3419 | 5b617d404b915 | 1533116539.19 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.304,0.04,"ASK"]
2018-08-01 09:42:28 | INFO | 3419 | 5b617d404b915 | 1533116548.968 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4130000000000000",0.04,"ASK"]
2018-08-01 09:42:28 | INFO | 3419 | 5b617d404b915 | 1533116548.970 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.41200000000003,0.04,"ASK"]
2018-08-01 09:42:28 | INFO | 3419 | 5b617d404b915 | 1533116548.971 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.411,0.04,"ASK"]
2018-08-01 09:42:40 | INFO | 3419 | 5b617d404b915 | 1533116560.872 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4120000000000000",0.04,"ASK"]
2018-08-01 09:42:40 | INFO | 3419 | 5b617d404b915 | 1533116560.873 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.411,0.04,"ASK"]
2018-08-01 09:42:40 | INFO | 3419 | 5b617d404b915 | 1533116560.875 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.40999999999997,0.04,"ASK"]
2018-08-01 09:42:49 | INFO | 3419 | 5b617d404b915 | 1533116569.358 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3050000000000000",0.04,"ASK"]
2018-08-01 09:42:49 | INFO | 3419 | 5b617d404b915 | 1533116569.360 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.30400000000003,0.04,"ASK"]
2018-08-01 09:42:49 | INFO | 3419 | 5b617d404b915 | 1533116569.361 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.303,0.04,"ASK"]
2018-08-01 09:43:00 | INFO | 3419 | 5b617d404b915 | 1533116580.234 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4120000000000000",0.04,"ASK"]
2018-08-01 09:43:00 | INFO | 3419 | 5b617d404b915 | 1533116580.236 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.411,0.04,"ASK"]
2018-08-01 09:43:00 | INFO | 3419 | 5b617d404b915 | 1533116580.238 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.40999999999997,0.04,"ASK"]
2018-08-01 09:43:13 | INFO | 3419 | 5b617d404b915 | 1533116593.140 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.0890000000000000",0.04,"ASK"]
2018-08-01 09:43:13 | INFO | 3419 | 5b617d404b915 | 1533116593.141 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.088,0.04,"ASK"]
2018-08-01 09:43:13 | INFO | 3419 | 5b617d404b915 | 1533116593.141 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.087,0.04,"ASK"]
