2018-08-01 06:59:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106740.423 | ordersCancel 调用成功 109006100
2018-08-01 06:59:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106740.423 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:59:02 | INFO | 1974 | 5b6159b5b2c82 | 1533106742.676 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:59:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106744.592 | depth 调用成功 "ETH-USDT"
2018-08-01 06:59:04 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106744.599 | main loop{"price":421.34599999999995,"p":0.89309461746126,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:59:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106744.604 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:59:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106744.606 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:59:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106744.608 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:59:06 | INFO | 1974 | 5b6159b5b2c82 | 1533106746.386 | accounts 调用成功 null
2018-08-01 06:59:08 | INFO | 1974 | 5b6159b5b2c82 | 1533106748.302 | ordersCancel 调用成功 109006100
2018-08-01 06:59:08 | INFO | 1974 | 5b6159b5b2c82 | 1533106748.303 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:59:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106749.588 | ordersCancel 调用成功 109006100
2018-08-01 06:59:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106749.588 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:59:10 | INFO | 1974 | 5b6159b5b2c82 | 1533106750.936 | ordersCancel 调用成功 109006100
2018-08-01 06:59:10 | INFO | 1974 | 5b6159b5b2c82 | 1533106750.937 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:59:13 | INFO | 1974 | 5b6159b5b2c82 | 1533106753.598 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:59:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106755.252 | depth 调用成功 "ETH-USDT"
2018-08-01 06:59:15 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106755.263 | main loop{"price":421.35024999999996,"p":0.89309636227769,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:59:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106755.265 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:59:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106755.267 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:59:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106755.268 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:59:17 | INFO | 1974 | 5b6159b5b2c82 | 1533106757.439 | accounts 调用成功 null
2018-08-01 06:59:19 | INFO | 1974 | 5b6159b5b2c82 | 1533106759.508 | ordersCancel 调用成功 109006100
2018-08-01 06:59:19 | INFO | 1974 | 5b6159b5b2c82 | 1533106759.510 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:59:22 | INFO | 1974 | 5b6159b5b2c82 | 1533106762.660 | ordersCancel 调用成功 109006100
